param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001
1,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001
2,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002
10,0.014,0.,0.013,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.014,0.,0.013,0.009,0.,0.009
20,0.038,0.,0.038,0.011,0.,0.011,0.014,0.,0.014,0.014,0.,0.014,0.042,0.,0.042,0.027,0.,0.027
30,0.087,0.,0.087,0.029,0.,0.029,0.047,0.,0.047,0.036,0.,0.036,0.103,0.,0.103,0.058,0.,0.058
40,0.16,0.,0.16,0.038,0.,0.038,0.17,0.,0.17,0.081,0.003,0.078,0.204,0.,0.204,0.121,0.,0.121
50,0.262,0.,0.261,0.066,0.,0.066,0.248,0.,0.248,0.14,0.,0.14,0.342,0.008,0.333,0.195,0.,0.195
60,0.505,0.003,0.502,0.084,0.,0.084,0.338,0.,0.338,0.247,0.,0.246,0.554,0.,0.554,0.421,0.003,0.417
70,0.677,0.,0.677,0.129,0.,0.129,0.343,0.,0.343,0.458,0.,0.458,0.95,0.,0.95,0.547,0.,0.547
80,0.886,0.,0.886,0.155,0.,0.155,0.495,0.,0.495,0.622,0.,0.621,1.116,0.002,1.113,0.729,0.,0.729
90,0.991,0.,0.991,0.163,0.,0.163,0.698,0.,0.698,0.826,0.,0.826,1.525,0.,1.524,0.827,0.,0.827
100,1.588,0.011,1.576,0.213,0.,0.213,0.946,0.,0.946,1.12,0.,1.12,2.387,0.003,2.381,1.374,0.01,1.362
110,1.649,0.,1.649,0.235,0.,0.235,1.24,0.,1.24,1.242,0.,1.241,2.664,0.,2.662,1.413,0.,1.413
120,2.101,0.007,2.093,0.306,0.,0.306,1.651,0.,1.65,1.577,0.,1.576,3.461,0.,3.46,1.794,0.007,1.786
130,2.661,0.004,2.657,0.358,0.,0.358,2.092,0.,2.091,2.002,0.,2.002,4.41,0.007,4.401,2.303,0.004,2.298
140,3.259,0.003,3.254,0.412,0.,0.412,2.519,0.,2.518,2.466,0.,2.465,5.34,0.003,5.335,2.845,0.003,2.841
150,3.929,0.003,3.924,0.44,0.,0.44,3.106,0.,3.105,3.358,0.,3.355,6.439,0.,6.438,3.488,0.003,3.483
160,4.532,0.007,4.523,0.489,0.,0.488,3.726,0.,3.725,3.685,0.,3.684,7.739,0.019,7.717,4.042,0.007,4.033
170,5.378,0.,5.377,0.616,0.,0.615,4.611,0.,4.611,4.436,0.,4.436,9.275,0.,9.273,4.761,0.,4.76
180,6.468,0.015,6.451,0.683,0.,0.683,5.405,0.,5.404,5.232,0.,5.231,11.183,0.007,11.173,5.784,0.015,5.767
190,7.367,0.003,7.362,0.685,0.,0.685,6.229,0.,6.227,6.132,0.,6.131,12.664,0.007,12.654,6.681,0.003,6.676
200,8.495,0.011,8.481,0.843,0.,0.843,7.604,0.,7.603,7.269,0.,7.268,15.348,0.016,15.329,7.651,0.011,7.637
210,9.533,0.003,9.527,0.831,0.,0.83,8.573,0.,8.571,8.347,0.,8.345,17.238,0.,17.235,8.701,0.003,8.696
220,11.055,0.,11.053,1.001,0.,1.001,9.688,0.003,9.682,9.631,0.,9.63,19.689,0.007,19.678,10.053,0.,10.051
230,12.377,0.,12.375,0.993,0.,0.993,11.389,0.003,11.383,10.975,0.,10.973,22.395,0.,22.392,11.382,0.,11.38
240,14.029,0.,14.026,1.193,0.,1.193,12.491,0.,12.488,12.738,0.003,12.732,25.703,0.,25.697,12.835,0.,12.832
250,16.005,0.,16.002,1.172,0.,1.172,14.666,0.,14.664,14.717,0.,14.714,28.94,0.003,28.931,14.832,0.,14.829
300,26.677,0.003,26.668,1.848,0.,1.848,25.201,0.007,25.189,25.445,0.,25.441,50.547,0.007,50.531,24.827,0.003,24.819
400,62.871,0.011,62.848,3.313,0.004,3.308,60.437,0.023,60.402,60.186,0.023,60.152,119.21,0.011,119.178,59.557,0.007,59.538
