param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002
3,0.046,0.003,0.042,0.046,0.005,0.04,0.046,0.001,0.044
4,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
5,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005
6,0.048,0.002,0.045,0.05,0.004,0.046,0.004,0.,0.004
7,0.049,0.007,0.041,0.049,0.001,0.047,0.005,0.,0.005
8,0.006,0.,0.006,0.006,0.,0.006,0.005,0.,0.005
9,0.007,0.,0.007,0.007,0.,0.007,0.006,0.,0.006
10,0.008,0.,0.008,0.008,0.,0.008,0.007,0.,0.007
11,0.01,0.,0.01,0.01,0.,0.01,0.008,0.,0.008
12,0.012,0.,0.012,0.012,0.,0.012,0.011,0.,0.011
13,0.014,0.,0.014,0.014,0.,0.014,0.011,0.,0.011
14,,,,0.018,0.,0.017,0.012,0.,0.012
15,0.021,0.,0.021,0.021,0.,0.021,0.014,0.,0.014
16,,,,,,,0.016,0.,0.016
17,,,,,,,0.017,0.,0.017
18,,,,,,,0.02,0.,0.02
19,,,,,,,0.021,0.,0.021
20,0.044,0.,0.044,,,,0.023,0.,0.023
21,,,,,,,0.025,0.,0.025
22,,,,0.056,0.,0.056,0.075,0.006,0.068
23,,,,,,,0.031,0.,0.031
24,,,,,,,0.034,0.,0.034
25,,,,,,,0.036,0.,0.036
26,0.095,0.,0.095,,,,0.038,0.,0.038
27,,,,,,,0.043,0.,0.043
28,,,,,,,0.045,0.,0.045
29,,,,,,,0.049,0.,0.049
30,,,,0.151,0.,0.151,0.053,0.,0.053
31,,,,,,,0.057,0.,0.057
32,,,,,,,0.062,0.,0.062
33,0.209,0.,0.209,,,,0.065,0.,0.065
34,,,,,,,0.073,0.,0.073
35,,,,,,,0.075,0.,0.075
36,,,,,,,0.078,0.,0.078
37,,,,0.306,0.,0.306,0.085,0.,0.085
38,,,,,,,0.091,0.,0.091
39,0.37,0.,0.37,,,,0.099,0.,0.099
40,,,,,,,0.105,0.,0.104
41,,,,,,,0.11,0.,0.11
42,,,,,,,0.119,0.,0.118
43,,,,,,,0.119,0.,0.119
44,,,,,,,0.128,0.,0.128
45,,,,0.615,0.,0.615,0.137,0.,0.137
46,0.678,0.,0.678,,,,0.146,0.,0.146
47,,,,,,,0.152,0.,0.152
48,,,,,,,0.163,0.,0.163
49,,,,,,,0.167,0.,0.167
50,,,,,,,0.18,0.,0.18
51,,,,,,,0.19,0.,0.19
52,1.061,0.,1.06,,,,,,
53,,,,1.119,0.,1.119,0.204,0.,0.204
54,,,,,,,0.217,0.,0.217
55,,,,,,,0.23,0.001,0.229
56,,,,,,,0.237,0.,0.237
58,,,,,,,0.254,0.,0.254
59,,,,,,,0.259,0.,0.258
60,,,,,,,0.27,0.,0.27
61,,,,,,,0.281,0.,0.281
62,2.07,0.,2.07,,,,,,
63,,,,2.202,0.001,2.2,0.309,0.,0.309
64,,,,,,,0.34,0.,0.339
65,,,,,,,0.329,0.,0.329
66,,,,,,,0.347,0.,0.346
68,,,,,,,0.377,0.,0.377
69,,,,,,,0.391,0.002,0.388
70,,,,,,,0.406,0.,0.406
71,,,,,,,0.419,0.,0.419
73,3.905,0.,3.904,,,,0.464,0.,0.464
74,,,,4.123,0.001,4.12,0.489,0.001,0.488
75,,,,,,,0.512,0.001,0.511
78,,,,,,,0.566,0.,0.565
80,,,,,,,0.607,0.,0.607
83,6.408,0.,6.407,,,,0.664,0.,0.664
84,,,,6.729,0.,6.728,,,
85,,,,,,,0.722,0.001,0.72
88,,,,,,,0.78,0.001,0.778
90,,,,,,,0.799,0.001,0.798
93,,,,,,,0.87,0.,0.868
94,10.443,0.,10.442,,,,,,
95,,,,10.863,0.003,10.859,0.929,0.,0.929
98,,,,,,,0.997,0.,0.996
100,,,,,,,1.073,0.,1.073
104,15.125,0.004,15.119,,,,,,
105,,,,15.724,0.002,15.721,,,
106,,,,,,,1.325,0.001,1.324
120,,,,,,,1.833,0.,1.833
140,,,,,,,2.894,0.,2.894
159,,,,,,,4.13,0.,4.13
179,,,,,,,5.733,0.,5.732
199,,,,,,,7.976,0.,7.976
