param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.001,0.,0.001,0.,0.001,0.001,0.,0.001
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.,0.001,0.,0.001
3,0.001,0.,0.,0.001,0.001,0.,0.002,0.,0.002
4,0.002,0.,0.002,0.002,0.,0.002,0.002,0.001,0.
5,0.003,0.,0.003,0.004,0.001,0.003,0.004,0.,0.004
6,0.005,0.001,0.004,0.005,0.003,0.002,0.004,0.,0.003
7,0.004,0.,0.003,0.004,0.002,0.002,0.004,0.,0.003
8,0.006,0.001,0.005,0.005,0.,0.004,0.005,0.001,0.003
9,0.007,0.001,0.005,0.006,0.,0.005,0.006,0.002,0.004
10,0.008,0.002,0.006,0.008,0.003,0.004,0.007,0.,0.006
11,0.009,0.001,0.007,0.009,0.,0.008,0.008,0.001,0.007
12,0.01,0.003,0.006,0.01,0.002,0.007,0.048,0.005,0.042
13,0.012,0.001,0.01,0.012,0.003,0.009,0.007,0.,0.007
14,,,,0.049,0.002,0.046,0.008,0.,0.008
15,0.056,0.013,0.043,0.055,0.008,0.046,0.009,0.,0.009
16,,,,,,,0.01,0.,0.01
17,,,,,,,0.01,0.,0.01
18,,,,,,,0.011,0.,0.011
19,,,,,,,0.013,0.,0.013
20,0.062,0.005,0.057,,,,0.013,0.,0.013
21,,,,,,,0.015,0.,0.015
22,,,,0.026,0.,0.026,0.021,0.005,0.015
23,,,,,,,0.017,0.,0.017
24,,,,,,,0.017,0.,0.017
25,,,,,,,0.019,0.,0.019
26,0.037,0.,0.037,,,,0.021,0.,0.021
27,,,,,,,0.021,0.,0.021
28,,,,,,,0.024,0.,0.024
29,,,,,,,0.025,0.,0.025
30,,,,0.054,0.,0.054,0.026,0.,0.026
31,,,,,,,0.029,0.,0.029
32,,,,,,,0.03,0.,0.03
33,0.067,0.,0.067,,,,0.033,0.,0.033
34,,,,,,,0.033,0.,0.033
35,,,,,,,0.036,0.,0.035
36,,,,,,,0.037,0.,0.037
37,,,,0.088,0.,0.088,0.039,0.,0.039
38,,,,,,,0.041,0.,0.041
39,0.104,0.,0.104,,,,0.045,0.,0.045
40,,,,,,,0.043,0.,0.043
41,,,,,,,0.047,0.,0.047
42,,,,,,,0.048,0.,0.048
43,,,,,,,0.093,0.008,0.084
44,,,,,,,0.052,0.,0.051
45,,,,0.144,0.,0.144,0.057,0.,0.057
46,0.151,0.,0.151,,,,0.055,0.,0.054
47,,,,,,,0.064,0.,0.063
48,,,,,,,0.063,0.,0.063
49,,,,,,,0.07,0.,0.07
50,,,,,,,0.074,0.,0.074
51,,,,,,,0.069,0.,0.069
52,0.212,0.,0.212,,,,,,
53,,,,0.223,0.,0.222,0.071,0.,0.071
54,,,,,,,0.073,0.,0.073
55,,,,,,,0.081,0.,0.081
56,,,,,,,0.086,0.,0.086
58,,,,,,,0.092,0.,0.091
59,,,,,,,0.098,0.,0.098
60,,,,,,,0.105,0.,0.105
61,,,,,,,0.099,0.,0.099
62,0.338,0.001,0.336,,,,,,
63,,,,0.355,0.,0.354,0.106,0.,0.106
64,,,,,,,0.104,0.,0.104
65,,,,,,,0.108,0.,0.108
66,,,,,,,0.11,0.,0.11
68,,,,,,,0.121,0.,0.12
69,,,,,,,0.12,0.,0.119
70,,,,,,,0.126,0.002,0.124
71,,,,,,,0.137,0.,0.136
73,0.533,0.,0.532,,,,0.137,0.,0.136
74,,,,0.556,0.,0.555,0.141,0.,0.141
75,,,,,,,0.146,0.,0.146
78,,,,,,,0.166,0.,0.165
80,,,,,,,0.176,0.,0.176
83,0.762,0.001,0.76,,,,0.189,0.,0.189
84,,,,0.791,0.001,0.79,,,
85,,,,,,,0.204,0.,0.203
88,,,,,,,0.21,0.001,0.208
90,,,,,,,0.227,0.,0.227
93,,,,,,,0.235,0.001,0.229
94,1.098,0.001,1.096,,,,,,
95,,,,1.125,0.,1.124,0.232,0.,0.232
98,,,,,,,0.247,0.002,0.245
100,,,,,,,0.259,0.,0.258
104,1.449,0.001,1.447,,,,,,
105,,,,1.51,0.001,1.505,,,
106,,,,,,,0.311,0.,0.31
120,,,,,,,0.374,0.,0.373
140,,,,,,,0.54,0.,0.54
159,,,,,,,0.746,0.,0.745
179,,,,,,,0.936,0.002,0.934
199,,,,,,,1.186,0.,1.185
