param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.001,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.058,0.008,0.049,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.003,0.,0.003,0.006,0.,0.006,0.003,0.,0.003,0.003,0.,0.003
16383,13,0.006,0.,0.006,0.009,0.,0.009,0.006,0.,0.006,0.007,0.,0.007
32767,14,0.015,0.,0.015,0.014,0.,0.014,0.014,0.,0.014,0.013,0.,0.013
65535,15,0.057,0.,0.057,0.032,0.,0.032,0.046,0.,0.046,0.027,0.,0.027
131071,16,0.115,0.,0.115,0.062,0.,0.061,0.072,0.,0.072,0.058,0.,0.058
262143,17,0.211,0.,0.211,0.121,0.,0.121,0.119,0.,0.119,0.116,0.,0.116
524287,18,0.371,0.007,0.363,0.241,0.,0.241,0.239,0.,0.239,0.237,0.,0.237
1048575,19,0.805,0.,0.804,0.478,0.,0.478,0.484,0.,0.484,0.473,0.,0.473
2097151,20,1.166,0.016,1.15,0.957,0.,0.957,0.952,0.,0.952,0.956,0.,0.956
4194303,21,2.869,0.004,2.865,1.913,0.,1.913,1.962,0.,1.962,1.936,0.,1.936
8388607,22,4.086,0.007,4.078,3.871,0.003,3.867,3.858,0.,3.858,3.877,0.,3.877
