param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.002,0.,0.002,0.002,0.,0.001,0.002,0.,0.001
20,0.005,0.,0.004,0.005,0.002,0.003,0.005,0.,0.004
30,0.007,0.,0.007,0.044,0.008,0.036,0.009,0.,0.008
40,0.025,0.,0.025,0.011,0.,0.011,0.011,0.,0.011
50,0.05,0.003,0.047,0.02,0.004,0.015,0.02,0.003,0.016
60,0.021,0.,0.021,0.022,0.,0.022,0.021,0.,0.021
70,0.031,0.,0.031,0.028,0.,0.028,0.028,0.,0.028
80,0.04,0.,0.04,0.035,0.,0.035,0.036,0.,0.036
90,0.043,0.,0.043,0.099,0.,0.099,0.044,0.,0.044
100,0.053,0.,0.053,0.054,0.,0.054,0.069,0.,0.069
110,0.063,0.,0.063,0.075,0.,0.075,0.09,0.,0.09
120,0.074,0.,0.074,0.081,0.,0.081,0.079,0.,0.079
130,0.098,0.,0.098,0.116,0.,0.116,0.146,0.,0.146
140,0.101,0.,0.101,0.101,0.,0.101,0.101,0.,0.101
150,0.143,0.,0.143,0.168,0.,0.168,0.126,0.,0.126
160,0.13,0.,0.13,0.132,0.,0.132,0.131,0.,0.131
170,0.147,0.,0.147,0.149,0.,0.149,0.147,0.,0.147
180,0.165,0.,0.165,0.166,0.,0.166,0.166,0.,0.166
190,0.185,0.,0.185,0.186,0.,0.186,0.185,0.,0.185
200,0.242,0.,0.242,0.264,0.,0.264,0.222,0.,0.222
