param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.,0.001,0.,0.001,0.001,0.,0.001
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.,0.001,0.,0.001,0.001,0.,0.001
3,0.001,0.,0.001,0.002,0.,0.002,0.002,0.001,0.
4,0.002,0.001,0.001,0.002,0.,0.001,0.002,0.,0.002
5,0.004,0.,0.004,0.004,0.,0.003,0.004,0.001,0.002
6,0.005,0.001,0.004,0.005,0.,0.005,0.004,0.,0.003
7,0.005,0.,0.004,0.005,0.002,0.003,0.005,0.002,0.003
8,0.006,0.,0.005,0.006,0.002,0.004,0.006,0.001,0.004
9,0.007,0.001,0.006,0.007,0.001,0.006,0.006,0.,0.005
10,0.009,0.001,0.008,0.009,0.001,0.007,0.007,0.001,0.006
11,0.01,0.001,0.009,0.01,0.,0.01,0.044,0.003,0.041
12,0.012,0.001,0.01,0.012,0.001,0.01,0.007,0.,0.007
13,0.047,0.004,0.042,0.046,0.001,0.044,0.008,0.,0.008
14,,,,0.012,0.,0.012,0.008,0.,0.008
15,0.049,0.003,0.046,0.049,0.005,0.043,0.024,0.,0.024
16,,,,,,,0.01,0.,0.01
17,,,,,,,0.011,0.,0.011
18,,,,,,,0.013,0.,0.013
19,,,,,,,0.013,0.,0.013
20,0.025,0.,0.025,,,,0.015,0.,0.015
21,,,,,,,0.016,0.,0.016
22,,,,0.044,0.,0.044,0.023,0.003,0.02
23,,,,,,,0.018,0.,0.018
24,,,,,,,0.021,0.,0.021
25,,,,,,,0.021,0.,0.021
26,0.058,0.,0.058,,,,0.027,0.,0.027
27,,,,,,,0.024,0.,0.024
28,,,,,,,0.031,0.,0.031
29,,,,,,,0.026,0.,0.026
30,,,,0.061,0.,0.061,0.028,0.,0.028
31,,,,,,,0.03,0.,0.03
32,,,,,,,0.084,0.,0.084
33,0.078,0.,0.078,,,,0.034,0.,0.034
34,,,,,,,0.061,0.,0.061
35,,,,,,,0.038,0.,0.038
36,,,,,,,0.053,0.,0.053
37,,,,0.105,0.,0.105,0.041,0.,0.041
38,,,,,,,0.042,0.,0.042
39,0.126,0.,0.126,,,,0.045,0.,0.045
40,,,,,,,0.053,0.,0.053
41,,,,,,,0.055,0.,0.055
42,,,,,,,0.05,0.,0.05
43,,,,,,,0.105,0.004,0.101
44,,,,,,,0.117,0.,0.117
45,,,,0.174,0.,0.174,0.06,0.001,0.058
46,0.231,0.001,0.229,,,,0.093,0.,0.093
47,,,,,,,0.07,0.,0.07
48,,,,,,,0.064,0.,0.064
49,,,,,,,0.067,0.,0.067
50,,,,,,,0.07,0.,0.07
51,,,,,,,0.073,0.,0.073
52,0.289,0.,0.288,,,,,,
53,,,,0.351,0.,0.351,0.078,0.,0.078
54,,,,,,,0.081,0.,0.08
55,,,,,,,0.086,0.,0.086
56,,,,,,,0.089,0.,0.089
58,,,,,,,0.096,0.,0.096
59,,,,,,,0.099,0.,0.099
60,,,,,,,0.103,0.,0.103
61,,,,,,,0.106,0.,0.105
62,0.496,0.,0.495,,,,,,
63,,,,0.497,0.,0.497,0.112,0.,0.112
64,,,,,,,0.11,0.,0.11
65,,,,,,,0.12,0.,0.12
66,,,,,,,0.122,0.,0.122
68,,,,,,,0.127,0.,0.127
69,,,,,,,0.146,0.,0.146
70,,,,,,,0.141,0.,0.141
71,,,,,,,0.148,0.,0.148
73,0.616,0.,0.612,,,,0.157,0.,0.157
74,,,,0.653,0.,0.652,0.162,0.,0.162
75,,,,,,,0.17,0.,0.169
78,,,,,,,0.176,0.,0.175
80,,,,,,,0.186,0.,0.186
83,0.883,0.,0.881,,,,0.203,0.002,0.201
84,,,,0.915,0.,0.915,,,
85,,,,,,,0.211,0.003,0.207
88,,,,,,,0.231,0.,0.231
90,,,,,,,0.236,0.001,0.235
93,,,,,,,0.259,0.,0.258
94,1.263,0.,1.263,,,,,,
95,,,,1.304,0.001,1.302,0.258,0.,0.258
98,,,,,,,0.273,0.,0.273
100,,,,,,,0.292,0.,0.289
104,1.706,0.002,1.703,,,,,,
105,,,,1.75,0.,1.749,,,
106,,,,,,,0.419,0.,0.418
120,,,,,,,0.421,0.,0.421
140,,,,,,,0.59,0.,0.59
159,,,,,,,0.827,0.003,0.823
179,,,,,,,1.085,0.002,1.082
199,,,,,,,1.322,0.004,1.316
