param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
16383,13,0.005,0.,0.005,0.004,0.,0.004,0.005,0.,0.005,0.004,0.,0.004,0.004,0.,0.004,0.006,0.,0.006,0.004,0.,0.004
32767,14,0.01,0.,0.01,0.01,0.,0.01,0.013,0.001,0.012,0.009,0.,0.009,0.009,0.,0.009,0.01,0.,0.01,0.015,0.,0.015
65535,15,0.051,0.,0.051,0.019,0.,0.019,0.028,0.,0.027,0.019,0.,0.019,0.019,0.,0.019,0.019,0.,0.019,0.035,0.,0.035
131071,16,0.052,0.,0.052,0.073,0.,0.073,0.064,0.002,0.062,0.041,0.,0.041,0.039,0.,0.039,0.053,0.,0.053,0.109,0.,0.109
262143,17,0.131,0.004,0.127,0.082,0.,0.082,0.178,0.,0.178,0.082,0.,0.082,0.083,0.,0.083,0.082,0.,0.082,0.083,0.,0.083
524287,18,0.29,0.002,0.287,0.165,0.,0.165,0.164,0.,0.164,0.164,0.,0.164,0.165,0.,0.165,0.165,0.,0.165,0.165,0.,0.165
1048575,19,0.448,0.001,0.446,0.336,0.,0.336,0.337,0.,0.337,0.331,0.,0.331,0.333,0.,0.333,0.332,0.,0.332,0.328,0.,0.328
2097151,20,0.799,0.007,0.792,0.66,0.,0.659,0.66,0.,0.66,0.657,0.,0.657,0.658,0.,0.658,0.658,0.,0.658,0.654,0.,0.654
4194303,21,1.424,0.,1.423,1.342,0.,1.342,1.344,0.,1.344,1.371,0.,1.371,1.343,0.,1.342,1.36,0.,1.359,1.353,0.,1.353
8388607,22,2.765,0.,2.765,2.665,0.,2.665,2.656,0.,2.656,2.718,0.001,2.716,2.616,0.,2.616,2.714,0.,2.714,2.664,0.001,2.662
