param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.
16,4,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.
32,5,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.
64,6,0.004,0.,0.004,0.002,0.,0.002,0.001,0.,0.001
128,7,0.009,0.,0.008,0.005,0.,0.004,0.003,0.,0.003
256,8,0.062,0.009,0.053,0.055,0.007,0.048,0.006,0.001,0.004
512,9,0.051,0.,0.05,0.04,0.,0.039,0.01,0.,0.01
1024,10,0.08,0.,0.08,0.057,0.,0.057,0.022,0.,0.022
2048,11,0.187,0.003,0.183,0.141,0.003,0.137,0.045,0.,0.045
4096,12,0.451,0.004,0.446,0.332,0.002,0.33,0.118,0.002,0.116
8192,13,1.003,0.004,0.998,0.709,0.003,0.705,0.293,0.,0.292
16384,14,2.122,0.013,2.108,1.531,0.003,1.527,0.591,0.009,0.581
