param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.002,0.,0.002,0.002,0.,0.001,0.003,0.,0.003
1,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002
2,0.003,0.,0.003,0.002,0.002,0.,0.003,0.,0.003
3,0.004,0.003,0.,0.003,0.,0.003,0.004,0.,0.004
4,0.005,0.005,0.,0.005,0.002,0.002,0.007,0.005,0.002
5,0.009,0.004,0.005,0.008,0.008,0.,0.009,0.004,0.005
6,0.01,0.003,0.007,0.01,0.,0.009,0.009,0.002,0.006
7,0.014,0.006,0.007,0.009,0.003,0.006,0.01,0.004,0.005
8,0.013,0.004,0.008,0.012,0.002,0.009,0.012,0.003,0.009
9,0.015,0.007,0.007,0.015,0.005,0.009,0.014,0.007,0.007
10,0.016,0.008,0.008,0.016,0.,0.016,0.066,0.009,0.057
11,0.071,0.011,0.059,0.02,0.003,0.017,0.014,0.,0.014
12,0.079,0.023,0.055,0.076,0.032,0.044,0.015,0.,0.015
13,0.023,0.,0.023,0.024,0.,0.024,0.018,0.,0.018
14,,,,0.026,0.,0.026,0.02,0.,0.02
15,0.033,0.,0.033,0.026,0.,0.026,0.022,0.,0.022
16,,,,,,,0.022,0.003,0.019
17,,,,,,,0.126,0.,0.126
18,,,,,,,0.027,0.,0.027
19,,,,,,,0.03,0.,0.03
20,0.049,0.,0.049,,,,0.035,0.,0.035
21,,,,,,,0.037,0.,0.037
22,,,,0.063,0.,0.063,0.052,0.036,0.016
23,,,,,,,0.064,0.,0.064
24,,,,,,,0.045,0.,0.045
25,,,,,,,0.044,0.,0.044
26,0.168,0.,0.168,,,,0.047,0.,0.047
27,,,,,,,0.049,0.,0.049
28,,,,,,,0.056,0.,0.056
29,,,,,,,0.068,0.,0.068
30,,,,0.209,0.,0.209,0.061,0.,0.061
31,,,,,,,0.081,0.,0.081
32,,,,,,,0.068,0.,0.068
33,0.171,0.,0.171,,,,0.071,0.,0.071
34,,,,,,,0.074,0.,0.074
35,,,,,,,0.166,0.,0.166
36,,,,,,,0.108,0.,0.108
37,,,,0.227,0.,0.227,0.092,0.,0.092
38,,,,,,,0.09,0.,0.09
39,0.217,0.,0.217,,,,0.096,0.,0.096
40,,,,,,,0.1,0.,0.1
41,,,,,,,0.095,0.,0.095
42,,,,,,,0.103,0.,0.103
43,,,,,,,0.175,0.019,0.155
44,,,,,,,0.118,0.,0.118
45,,,,0.368,0.,0.368,0.13,0.,0.13
46,0.356,0.,0.356,,,,0.12,0.,0.12
47,,,,,,,0.123,0.,0.123
48,,,,,,,0.134,0.,0.134
49,,,,,,,0.139,0.,0.139
50,,,,,,,0.144,0.003,0.14
51,,,,,,,0.145,0.,0.145
52,0.561,0.,0.561,,,,,,
53,,,,0.637,0.,0.637,0.165,0.,0.165
54,,,,,,,0.176,0.,0.176
55,,,,,,,0.177,0.,0.177
56,,,,,,,0.198,0.004,0.191
58,,,,,,,0.196,0.,0.196
59,,,,,,,0.213,0.,0.213
60,,,,,,,0.215,0.003,0.211
61,,,,,,,0.236,0.,0.236
62,0.722,0.,0.721,,,,,,
63,,,,0.825,0.,0.825,0.229,0.,0.229
64,,,,,,,0.336,0.003,0.333
65,,,,,,,0.238,0.,0.238
66,,,,,,,0.241,0.,0.241
68,,,,,,,0.292,0.,0.292
69,,,,,,,0.263,0.,0.263
70,,,,,,,0.28,0.003,0.276
71,,,,,,,0.283,0.,0.283
73,1.138,0.,1.138,,,,0.293,0.,0.293
74,,,,1.276,0.007,1.269,0.295,0.,0.295
75,,,,,,,0.322,0.,0.322
78,,,,,,,0.337,0.007,0.329
80,,,,,,,0.355,0.,0.355
83,1.567,0.007,1.559,,,,0.359,0.,0.358
84,,,,1.733,0.,1.733,,,
85,,,,,,,0.4,0.004,0.395
88,,,,,,,0.41,0.003,0.406
90,,,,,,,0.443,0.003,0.439
93,,,,,,,0.459,0.,0.459
94,2.314,0.003,2.309,,,,,,
95,,,,2.562,0.003,2.557,0.511,0.,0.511
98,,,,,,,0.528,0.,0.528
100,,,,,,,0.551,0.003,0.547
104,3.132,0.,3.132,,,,,,
105,,,,3.405,0.007,3.397,,,
106,,,,,,,0.698,0.012,0.685
120,,,,,,,0.783,0.003,0.779
140,,,,,,,1.074,0.008,1.065
159,,,,,,,1.461,0.,1.461
179,,,,,,,1.783,0.,1.782
199,,,,,,,2.424,0.,2.423
