param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
3,0.002,0.,0.002,0.001,0.,0.001,0.002,0.,0.001
4,0.002,0.,0.002,0.002,0.,0.001,0.002,0.,0.001
5,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005
6,0.005,0.,0.004,0.005,0.001,0.004,0.004,0.001,0.003
7,0.005,0.001,0.004,0.004,0.,0.004,0.004,0.001,0.003
8,0.006,0.002,0.003,0.006,0.003,0.003,0.005,0.002,0.002
9,0.007,0.,0.006,0.007,0.,0.006,0.006,0.,0.005
10,0.008,0.004,0.004,0.008,0.,0.007,0.052,0.005,0.047
11,0.01,0.002,0.007,0.009,0.001,0.007,0.006,0.,0.005
12,0.011,0.003,0.007,0.011,0.,0.01,0.007,0.,0.007
13,0.054,0.001,0.052,0.054,0.004,0.05,0.007,0.,0.007
14,,,,0.011,0.,0.011,0.008,0.,0.008
15,0.056,0.007,0.048,0.056,0.003,0.052,0.022,0.,0.022
16,,,,,,,0.01,0.,0.01
17,,,,,,,0.011,0.,0.011
18,,,,,,,0.012,0.,0.012
19,,,,,,,0.013,0.,0.013
20,0.023,0.,0.023,,,,0.013,0.,0.013
21,,,,,,,0.015,0.,0.015
22,,,,0.042,0.,0.042,0.023,0.008,0.015
23,,,,,,,0.018,0.,0.018
24,,,,,,,0.018,0.,0.018
25,,,,,,,0.024,0.,0.024
26,0.056,0.,0.056,,,,0.021,0.,0.021
27,,,,,,,0.023,0.,0.022
28,,,,,,,0.031,0.,0.031
29,,,,,,,0.025,0.,0.025
30,,,,0.058,0.,0.058,0.027,0.,0.027
31,,,,,,,0.029,0.,0.029
32,,,,,,,0.094,0.,0.093
33,0.076,0.,0.075,,,,0.032,0.,0.032
34,,,,,,,0.063,0.,0.063
35,,,,,,,0.036,0.,0.036
36,,,,,,,0.051,0.,0.051
37,,,,0.1,0.,0.1,0.038,0.,0.038
38,,,,,,,0.04,0.,0.04
39,0.116,0.,0.116,,,,0.042,0.,0.042
40,,,,,,,0.05,0.,0.05
41,,,,,,,0.053,0.,0.053
42,,,,,,,0.048,0.,0.048
43,,,,,,,0.109,0.006,0.102
44,,,,,,,0.118,0.,0.118
45,,,,0.165,0.,0.165,0.055,0.,0.055
46,0.24,0.,0.24,,,,0.089,0.,0.089
47,,,,,,,0.077,0.,0.076
48,,,,,,,0.061,0.,0.061
49,,,,,,,0.065,0.,0.065
50,,,,,,,0.067,0.,0.067
51,,,,,,,0.072,0.,0.071
52,0.284,0.,0.284,,,,,,
53,,,,0.357,0.,0.357,0.075,0.,0.075
54,,,,,,,0.081,0.,0.081
55,,,,,,,0.082,0.,0.082
56,,,,,,,0.082,0.,0.082
58,,,,,,,0.092,0.,0.092
59,,,,,,,0.094,0.,0.093
60,,,,,,,0.098,0.001,0.097
61,,,,,,,0.099,0.,0.098
62,0.491,0.,0.491,,,,,,
63,,,,0.475,0.,0.475,0.108,0.,0.107
64,,,,,,,0.111,0.,0.11
65,,,,,,,0.113,0.,0.113
66,,,,,,,0.12,0.001,0.119
68,,,,,,,0.123,0.001,0.122
69,,,,,,,0.13,0.,0.13
70,,,,,,,0.138,0.,0.137
71,,,,,,,0.144,0.,0.144
73,0.63,0.,0.627,,,,0.15,0.,0.15
74,,,,0.637,0.,0.637,0.155,0.,0.155
75,,,,,,,0.16,0.001,0.158
78,,,,,,,0.173,0.001,0.172
80,,,,,,,0.18,0.,0.179
83,0.877,0.001,0.875,,,,0.196,0.001,0.194
84,,,,0.903,0.,0.902,,,
85,,,,,,,0.203,0.,0.203
88,,,,,,,0.217,0.,0.217
90,,,,,,,0.226,0.,0.225
93,,,,,,,0.245,0.,0.244
94,1.259,0.,1.258,,,,,,
95,,,,1.296,0.,1.295,0.255,0.,0.255
98,,,,,,,0.268,0.,0.268
100,,,,,,,0.277,0.001,0.275
104,1.694,0.,1.694,,,,,,
105,,,,1.743,0.,1.742,,,
106,,,,,,,0.417,0.001,0.415
120,,,,,,,0.404,0.,0.4
140,,,,,,,0.579,0.002,0.576
159,,,,,,,0.749,0.,0.749
179,,,,,,,1.051,0.,1.05
199,,,,,,,1.34,0.002,1.337
