param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.,0.,0.,0.,0.,0.,0.,0.
32,5,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.
64,6,0.004,0.001,0.002,0.002,0.001,0.,0.001,0.,0.001
128,7,0.049,0.001,0.047,0.045,0.,0.044,0.003,0.,0.003
256,8,0.03,0.,0.029,0.024,0.,0.023,0.005,0.,0.005
512,9,0.036,0.,0.036,0.024,0.,0.024,0.011,0.,0.011
1024,10,0.077,0.,0.077,0.053,0.,0.053,0.024,0.,0.024
2048,11,0.19,0.007,0.182,0.138,0.007,0.13,0.052,0.,0.052
4096,12,0.474,0.004,0.47,0.35,0.002,0.348,0.124,0.001,0.122
8192,13,0.96,0.012,0.947,0.675,0.009,0.665,0.285,0.002,0.282
16384,14,2.105,0.005,2.099,1.419,0.005,1.413,0.685,0.,0.685
