param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001
1,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001
2,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002
10,0.012,0.,0.011,0.003,0.,0.003,0.003,0.003,0.,0.003,0.,0.003,0.011,0.,0.01,0.008,0.,0.008
20,0.042,0.,0.042,0.01,0.,0.01,0.006,0.,0.006,0.006,0.,0.006,0.038,0.,0.038,0.031,0.,0.031
30,0.139,0.,0.139,0.022,0.,0.022,0.011,0.,0.011,0.023,0.007,0.015,0.129,0.,0.129,0.117,0.,0.117
40,0.119,0.,0.119,0.057,0.,0.057,0.018,0.,0.018,0.017,0.,0.017,0.098,0.,0.098,0.061,0.,0.061
50,0.243,0.,0.243,0.057,0.,0.057,0.026,0.,0.026,0.035,0.003,0.031,0.209,0.,0.209,0.185,0.,0.185
60,0.218,0.003,0.214,0.086,0.003,0.082,0.045,0.,0.045,0.112,0.,0.112,0.17,0.,0.17,0.131,0.,0.131
70,0.4,0.,0.4,0.123,0.,0.123,0.045,0.,0.045,0.042,0.,0.042,0.319,0.,0.319,0.276,0.,0.276
80,0.393,0.003,0.389,0.144,0.003,0.14,0.053,0.,0.053,0.054,0.,0.054,0.328,0.,0.328,0.248,0.,0.248
90,0.493,0.,0.493,0.17,0.,0.17,0.066,0.,0.066,0.086,0.,0.086,0.42,0.,0.42,0.323,0.,0.323
100,0.719,0.,0.719,0.318,0.,0.318,0.157,0.,0.157,0.157,0.,0.157,0.501,0.,0.501,0.4,0.,0.4
110,0.725,0.,0.725,0.24,0.,0.24,0.094,0.,0.094,0.095,0.,0.095,0.589,0.003,0.585,0.484,0.,0.483
120,0.846,0.003,0.842,0.264,0.,0.264,0.11,0.,0.11,0.124,0.,0.124,0.709,0.003,0.705,0.581,0.003,0.577
130,0.973,0.012,0.961,0.307,0.,0.307,0.129,0.,0.129,0.226,0.,0.226,0.802,0.007,0.794,0.665,0.012,0.653
140,1.14,0.,1.139,0.357,0.,0.357,0.15,0.,0.15,0.168,0.,0.168,0.912,0.,0.912,0.782,0.,0.782
150,1.38,0.007,1.372,0.441,0.,0.441,0.169,0.,0.169,0.188,0.,0.188,1.197,0.008,1.189,0.938,0.007,0.93
160,1.515,0.015,1.499,0.498,0.,0.498,0.193,0.,0.193,0.205,0.,0.205,1.257,0.015,1.241,1.016,0.015,1.
170,1.764,0.007,1.756,0.524,0.,0.524,0.215,0.,0.215,0.226,0.,0.226,1.46,0.011,1.448,1.24,0.007,1.232
180,1.92,0.012,1.908,0.584,0.,0.584,0.242,0.,0.241,0.243,0.,0.242,1.642,0.011,1.629,1.335,0.011,1.323
190,2.264,0.,2.263,0.704,0.,0.703,0.27,0.,0.27,0.27,0.,0.27,1.82,0.,1.82,1.559,0.,1.559
200,2.377,0.007,2.369,0.716,0.,0.716,0.298,0.,0.298,0.402,0.,0.402,2.038,0.003,2.034,1.66,0.007,1.652
210,2.675,0.,2.674,0.791,0.,0.791,0.326,0.,0.326,0.337,0.,0.337,2.223,0.,2.222,1.883,0.,1.883
220,3.043,0.003,3.039,0.869,0.,0.869,0.358,0.,0.358,0.362,0.,0.362,2.457,0.011,2.445,2.173,0.003,2.169
230,3.398,0.,3.398,1.019,0.,1.019,0.396,0.,0.396,0.393,0.,0.393,2.755,0.,2.755,2.378,0.,2.378
240,3.619,0.007,3.611,1.029,0.,1.029,0.427,0.,0.427,0.432,0.,0.432,2.931,0.,2.93,2.588,0.007,2.58
250,3.967,0.004,3.962,1.202,0.,1.202,0.473,0.,0.473,0.467,0.,0.467,3.21,0.,3.209,2.763,0.003,2.759
300,6.172,0.,6.171,1.604,0.,1.604,0.682,0.,0.682,0.675,0.,0.675,5.131,0.011,5.118,4.567,0.,4.566
400,11.745,0.012,11.732,2.833,0.,2.833,1.226,0.,1.226,1.222,0.,1.222,10.391,0.011,10.378,8.91,0.011,8.897
