param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.003,0.,0.003
2,0.001,0.,0.,0.006,0.003,0.003
3,0.,0.,0.,0.005,0.004,0.
4,0.001,0.,0.,0.007,0.,0.007
5,0.002,0.,0.002,0.008,0.004,0.004
6,0.001,0.,0.,0.014,0.011,0.003
7,0.001,0.,0.,0.01,0.003,0.007
8,0.001,0.,0.001,0.013,0.,0.013
9,0.001,0.,0.,0.015,0.007,0.007
10,0.001,0.,0.,0.065,0.011,0.054
11,0.001,0.,0.001,0.014,0.,0.014
12,0.001,0.,0.001,0.017,0.,0.017
13,0.001,0.,0.001,0.019,0.,0.019
14,0.001,0.,0.001,0.02,0.,0.02
15,0.001,0.,0.001,0.024,0.,0.024
16,0.001,0.,0.001,0.025,0.,0.025
17,0.001,0.,0.001,0.027,0.,0.027
18,0.001,0.,0.001,0.103,0.,0.103
19,0.001,0.,0.001,0.031,0.,0.031
20,0.001,0.,0.001,0.035,0.,0.035
21,0.001,0.,0.001,0.038,0.003,0.035
22,0.002,0.,0.002,0.041,0.,0.041
23,0.002,0.,0.002,0.073,0.,0.073
24,0.002,0.,0.002,0.045,0.,0.045
25,0.002,0.,0.001,0.055,0.003,0.051
26,0.002,0.,0.002,0.051,0.,0.051
27,0.002,0.,0.002,0.055,0.,0.054
28,0.002,0.,0.002,0.061,0.,0.061
29,0.002,0.,0.002,0.061,0.,0.061
30,0.002,0.,0.002,0.076,0.,0.076
31,0.002,0.,0.002,0.072,0.,0.072
32,0.002,0.,0.002,0.074,0.,0.074
33,0.002,0.,0.002,0.093,0.,0.093
34,0.003,0.,0.003,0.084,0.,0.084
35,0.002,0.,0.002,0.085,0.,0.085
36,0.002,0.,0.002,0.184,0.,0.184
37,0.002,0.,0.002,0.097,0.003,0.093
38,0.002,0.,0.002,0.125,0.,0.125
39,0.003,0.,0.003,0.105,0.,0.105
40,0.002,0.,0.002,0.109,0.,0.109
41,0.003,0.,0.003,0.127,0.,0.126
42,0.003,0.,0.003,0.125,0.,0.125
43,0.003,0.,0.003,0.128,0.,0.128
44,0.003,0.,0.003,0.14,0.,0.14
45,0.003,0.,0.003,0.14,0.,0.14
46,0.003,0.,0.003,0.146,0.,0.146
47,0.003,0.,0.003,0.157,0.,0.157
48,0.003,0.,0.003,0.168,0.,0.168
49,0.003,0.,0.003,0.162,0.,0.162
50,0.003,0.,0.003,0.176,0.,0.176
51,0.003,0.,0.003,0.185,0.,0.185
52,0.004,0.,0.004,0.193,0.,0.193
53,0.003,0.,0.003,0.2,0.,0.2
54,0.003,0.,0.003,0.207,0.003,0.203
55,0.004,0.,0.004,0.213,0.,0.213
56,0.004,0.,0.004,0.227,0.,0.227
57,0.004,0.,0.004,0.233,0.,0.233
58,0.004,0.,0.004,0.232,0.,0.232
59,0.005,0.,0.004,0.247,0.,0.247
60,0.004,0.,0.004,0.269,0.003,0.266
61,0.005,0.,0.005,0.292,0.,0.292
62,0.004,0.,0.004,0.268,0.004,0.263
63,0.004,0.,0.004,0.284,0.012,0.272
64,0.004,0.,0.004,0.294,0.,0.294
65,0.005,0.,0.005,0.294,0.,0.294
66,0.004,0.,0.004,0.312,0.,0.311
67,0.004,0.,0.004,0.321,0.004,0.317
68,0.005,0.,0.005,0.337,0.,0.337
69,0.005,0.,0.005,0.349,0.,0.348
70,0.004,0.,0.004,0.357,0.003,0.353
71,0.004,0.,0.004,0.371,0.,0.371
72,0.005,0.,0.005,0.383,0.007,0.375
73,0.004,0.,0.004,0.379,0.,0.379
74,0.004,0.,0.004,0.42,0.003,0.415
75,0.005,0.,0.005,0.439,0.,0.439
76,0.004,0.,0.004,0.415,0.004,0.411
77,0.005,0.,0.005,0.448,0.,0.448
78,0.005,0.,0.005,0.465,0.007,0.457
79,0.005,0.,0.005,0.455,0.007,0.447
80,0.005,0.,0.005,0.47,0.003,0.466
81,0.011,0.,0.011,0.477,0.003,0.473
82,0.005,0.,0.005,0.483,0.,0.483
83,0.005,0.,0.005,0.53,0.,0.53
84,0.006,0.,0.006,0.528,0.,0.528
85,0.005,0.,0.005,0.527,0.,0.526
86,0.005,0.,0.005,0.546,0.,0.546
87,0.005,0.,0.005,0.57,0.,0.569
88,0.005,0.,0.005,0.599,0.003,0.593
89,0.006,0.,0.006,0.587,0.,0.587
90,0.012,0.,0.012,0.6,0.,0.6
91,0.006,0.,0.006,0.632,0.,0.632
92,0.006,0.,0.006,0.667,0.003,0.663
93,0.006,0.,0.006,0.674,0.,0.673
94,0.006,0.,0.006,0.66,0.,0.66
95,0.006,0.,0.006,0.682,0.003,0.678
96,0.006,0.,0.006,0.703,0.,0.703
97,0.006,0.,0.006,0.713,0.,0.713
98,0.006,0.003,0.002,0.727,0.,0.727
99,0.006,0.,0.006,0.804,0.,0.804
100,0.008,0.,0.008,0.795,0.,0.795
110,0.006,0.,0.006,1.281,0.055,1.226
120,0.007,0.,0.007,1.216,0.008,1.208
130,0.008,0.,0.008,1.482,0.008,1.473
140,0.008,0.,0.008,1.678,0.007,1.67
150,0.009,0.,0.009,2.063,0.012,2.05
160,0.01,0.,0.01,2.344,0.011,2.331
170,0.011,0.,0.011,2.791,0.,2.791
180,0.01,0.,0.01,3.259,0.004,3.254
190,0.012,0.,0.012,3.693,0.004,3.689
200,0.012,0.,0.012,4.116,0.012,4.103
210,0.012,0.,0.012,4.773,0.,4.772
220,0.014,0.,0.014,5.378,0.004,5.374
230,0.014,0.,0.014,5.951,0.,5.95
240,0.015,0.,0.015,6.77,0.024,6.745
250,0.015,0.,0.015,7.602,0.,7.601
260,0.015,0.,0.015,8.32,0.012,8.307
270,0.017,0.,0.017,9.116,0.,9.115
280,0.016,0.,0.016,10.039,0.,10.038
290,0.017,0.,0.017,11.076,0.003,11.071
300,0.023,0.,0.023,12.19,0.008,12.181
350,0.022,0.,0.022,18.953,0.02,18.93
400,0.023,0.,0.023,27.461,0.04,27.417
450,0.028,0.,0.028,37.925,0.004,37.914
500,0.034,0.,0.034,52.138,0.084,52.047
