param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.001,0.,0.,0.,0.,0.,0.,0.
32,5,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.
64,6,0.004,0.,0.004,0.002,0.,0.002,0.001,0.,0.001
128,7,0.048,0.002,0.045,0.045,0.002,0.042,0.003,0.,0.003
256,8,0.03,0.,0.029,0.025,0.,0.025,0.004,0.,0.004
512,9,0.034,0.,0.034,0.023,0.,0.023,0.01,0.,0.01
1024,10,0.074,0.,0.074,0.053,0.,0.053,0.021,0.,0.021
2048,11,0.193,0.011,0.181,0.147,0.011,0.135,0.045,0.,0.045
4096,12,0.469,0.007,0.461,0.354,0.007,0.347,0.114,0.,0.114
8192,13,0.908,0.007,0.9,0.658,0.007,0.65,0.249,0.,0.249
16384,14,2.074,0.019,2.054,1.413,0.019,1.393,0.66,0.,0.66
