param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.001
1,0.001,0.,0.001,0.001,0.001,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.002,0.001,0.,0.002,0.002,0.
3,0.003,0.003,0.,0.003,0.,0.003,0.004,0.,0.004
4,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005
5,0.007,0.003,0.003,0.007,0.007,0.,0.007,0.,0.007
6,0.009,0.004,0.004,0.008,0.004,0.004,0.007,0.,0.007
7,0.008,0.008,0.,0.008,0.,0.008,0.009,0.003,0.005
8,0.011,0.003,0.007,0.01,0.002,0.007,0.01,0.007,0.003
9,0.012,0.,0.012,0.012,0.01,0.002,0.012,0.008,0.004
10,0.015,0.007,0.008,0.015,0.011,0.003,0.058,0.023,0.035
11,0.065,0.023,0.041,0.018,0.,0.017,0.01,0.,0.01
12,0.067,0.023,0.043,0.066,0.007,0.059,0.012,0.,0.012
13,0.015,0.,0.015,0.016,0.,0.016,0.014,0.,0.014
14,,,,0.019,0.,0.019,0.015,0.,0.015
15,0.019,0.,0.019,0.019,0.,0.019,0.017,0.,0.017
16,,,,,,,0.018,0.,0.018
17,,,,,,,0.096,0.,0.096
18,,,,,,,0.02,0.,0.02
19,,,,,,,0.023,0.,0.023
20,0.036,0.,0.036,,,,0.024,0.,0.024
21,,,,,,,0.024,0.,0.024
22,,,,0.042,0.,0.042,0.042,0.008,0.033
23,,,,,,,0.047,0.,0.047
24,,,,,,,0.03,0.,0.03
25,,,,,,,0.032,0.,0.032
26,0.139,0.,0.139,,,,0.033,0.,0.033
27,,,,,,,0.035,0.,0.035
28,,,,,,,0.038,0.,0.038
29,,,,,,,0.051,0.,0.051
30,,,,0.163,0.,0.163,0.043,0.,0.043
31,,,,,,,0.057,0.,0.057
32,,,,,,,0.046,0.,0.046
33,0.124,0.,0.124,,,,0.049,0.,0.049
34,,,,,,,0.052,0.,0.052
35,,,,,,,0.132,0.,0.132
36,,,,,,,0.079,0.,0.079
37,,,,0.157,0.003,0.154,0.061,0.,0.061
38,,,,,,,0.062,0.,0.062
39,0.158,0.,0.158,,,,0.067,0.,0.067
40,,,,,,,0.072,0.,0.072
41,,,,,,,0.073,0.,0.073
42,,,,,,,0.076,0.,0.076
43,,,,,,,0.134,0.003,0.13
44,,,,,,,0.086,0.003,0.083
45,,,,0.248,0.,0.248,0.092,0.,0.092
46,0.263,0.,0.262,,,,0.09,0.,0.09
47,,,,,,,0.094,0.,0.094
48,,,,,,,0.097,0.,0.097
49,,,,,,,0.105,0.,0.105
50,,,,,,,0.109,0.,0.109
51,,,,,,,0.112,0.,0.112
52,0.435,0.,0.435,,,,,,
53,,,,0.446,0.,0.446,0.12,0.,0.12
54,,,,,,,0.124,0.,0.124
55,,,,,,,0.129,0.,0.129
56,,,,,,,0.132,0.,0.132
58,,,,,,,0.143,0.,0.143
59,,,,,,,0.147,0.,0.147
60,,,,,,,0.158,0.,0.158
61,,,,,,,0.169,0.,0.169
62,0.533,0.003,0.529,,,,,,
63,,,,0.556,0.,0.556,0.172,0.,0.172
64,,,,,,,0.268,0.,0.268
65,,,,,,,0.191,0.,0.191
66,,,,,,,0.187,0.003,0.183
68,,,,,,,0.212,0.,0.212
69,,,,,,,0.216,0.004,0.212
70,,,,,,,0.221,0.,0.221
71,,,,,,,0.216,0.,0.216
73,0.84,0.,0.84,,,,0.233,0.,0.233
74,,,,0.872,0.,0.872,0.23,0.003,0.226
75,,,,,,,0.239,0.,0.239
78,,,,,,,0.257,0.,0.257
80,,,,,,,0.274,0.,0.274
83,1.213,0.,1.211,,,,0.278,0.003,0.274
84,,,,1.247,0.,1.247,,,
85,,,,,,,0.315,0.,0.315
88,,,,,,,0.334,0.004,0.33
90,,,,,,,0.349,0.003,0.345
93,,,,,,,0.364,0.,0.364
94,1.721,0.003,1.717,,,,,,
95,,,,1.783,0.,1.783,0.409,0.,0.409
98,,,,,,,0.429,0.,0.429
100,,,,,,,0.444,0.003,0.44
104,2.357,0.,2.357,,,,,,
105,,,,2.41,0.,2.409,,,
106,,,,,,,0.583,0.,0.583
120,,,,,,,0.644,0.,0.644
140,,,,,,,0.89,0.,0.89
159,,,,,,,1.218,0.,1.218
179,,,,,,,1.481,0.,1.481
199,,,,,,,2.039,0.003,2.035
