param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.,0.001,0.,0.001
3,0.001,0.,0.001,0.002,0.,0.002,0.002,0.001,0.001
4,0.002,0.,0.002,0.002,0.,0.001,0.002,0.001,0.001
5,0.004,0.,0.004,0.004,0.001,0.003,0.004,0.,0.003
6,0.005,0.,0.004,0.005,0.001,0.004,0.004,0.001,0.002
7,0.005,0.,0.004,0.005,0.,0.004,0.004,0.001,0.002
8,0.006,0.,0.005,0.006,0.,0.005,0.005,0.,0.005
9,0.007,0.001,0.005,0.007,0.001,0.005,0.006,0.002,0.004
10,0.008,0.002,0.006,0.008,0.001,0.006,0.007,0.002,0.004
11,0.01,0.002,0.007,0.01,0.002,0.007,0.043,0.006,0.037
12,0.012,0.003,0.008,0.012,0.002,0.009,0.007,0.,0.007
13,0.049,0.003,0.045,0.048,0.002,0.046,0.008,0.,0.008
14,,,,0.012,0.,0.012,0.009,0.,0.009
15,0.05,0.006,0.043,0.05,0.004,0.045,0.023,0.,0.023
16,,,,,,,0.01,0.,0.01
17,,,,,,,0.011,0.,0.011
18,,,,,,,0.013,0.,0.013
19,,,,,,,0.013,0.,0.013
20,0.024,0.,0.024,,,,0.014,0.,0.014
21,,,,,,,0.016,0.,0.016
22,,,,0.044,0.,0.044,0.023,0.005,0.018
23,,,,,,,0.019,0.,0.019
24,,,,,,,0.019,0.,0.019
25,,,,,,,0.025,0.,0.025
26,0.057,0.,0.057,,,,0.022,0.,0.022
27,,,,,,,0.023,0.,0.023
28,,,,,,,0.032,0.,0.032
29,,,,,,,0.026,0.,0.026
30,,,,0.062,0.,0.062,0.029,0.,0.028
31,,,,,,,0.03,0.,0.03
32,,,,,,,0.09,0.,0.09
33,0.077,0.,0.077,,,,0.034,0.002,0.032
34,,,,,,,0.062,0.,0.062
35,,,,,,,0.037,0.,0.037
36,,,,,,,0.051,0.,0.051
37,,,,0.107,0.,0.107,0.041,0.,0.041
38,,,,,,,0.043,0.,0.043
39,0.121,0.,0.121,,,,0.049,0.,0.049
40,,,,,,,0.054,0.,0.054
41,,,,,,,0.049,0.,0.049
42,,,,,,,0.051,0.,0.051
43,,,,,,,0.107,0.007,0.099
44,,,,,,,0.058,0.,0.058
45,,,,0.173,0.,0.172,0.088,0.,0.088
46,0.245,0.,0.245,,,,0.072,0.,0.072
47,,,,,,,0.063,0.,0.063
48,,,,,,,0.065,0.,0.065
49,,,,,,,0.069,0.,0.069
50,,,,,,,0.073,0.,0.073
51,,,,,,,0.076,0.,0.076
52,0.291,0.,0.291,,,,,,
53,,,,0.363,0.,0.363,0.081,0.,0.08
54,,,,,,,0.103,0.,0.103
55,,,,,,,0.09,0.,0.09
56,,,,,,,0.124,0.,0.124
58,,,,,,,0.097,0.,0.097
59,,,,,,,0.103,0.,0.102
60,,,,,,,0.105,0.,0.105
61,,,,,,,0.107,0.,0.107
62,0.5,0.,0.5,,,,,,
63,,,,0.515,0.,0.515,0.114,0.,0.113
64,,,,,,,0.119,0.,0.118
65,,,,,,,0.119,0.,0.118
66,,,,,,,0.125,0.001,0.124
68,,,,,,,0.137,0.,0.137
69,,,,,,,0.139,0.,0.139
70,,,,,,,0.149,0.,0.149
71,,,,,,,0.151,0.,0.151
73,0.678,0.,0.677,,,,0.163,0.,0.16
74,,,,0.672,0.,0.671,0.166,0.,0.166
75,,,,,,,0.169,0.,0.169
78,,,,,,,0.184,0.,0.183
80,,,,,,,0.191,0.001,0.189
83,0.909,0.,0.908,,,,0.205,0.,0.204
84,,,,0.944,0.001,0.943,,,
85,,,,,,,0.217,0.,0.217
88,,,,,,,0.235,0.001,0.233
90,,,,,,,0.242,0.,0.242
93,,,,,,,0.257,0.,0.256
94,1.302,0.,1.301,,,,,,
95,,,,1.358,0.,1.356,0.265,0.001,0.264
98,,,,,,,0.283,0.,0.282
100,,,,,,,0.303,0.,0.302
104,1.778,0.,1.778,,,,,,
105,,,,1.805,0.002,1.802,,,
106,,,,,,,0.432,0.001,0.43
120,,,,,,,0.433,0.,0.433
140,,,,,,,0.611,0.,0.611
159,,,,,,,0.825,0.001,0.823
179,,,,,,,1.084,0.,1.083
199,,,,,,,1.366,0.004,1.361
